logFC	PValue	gene	cko	con
0.08017577530888544	0.8459245557279764	Gnai3	4792	5439
-0.11701085866116227	0.7817929248779614	Cdc45	600	594
-0.03991888381054809	0.9261009968242616	H19	992	1036
-0.2998142992558249	0.5293739322205053	Scml2	125	109
0.05352975628674251	0.8970598543053142	Narf	4254	4740
0.15793741416566612	0.752693603953222	Cav2	101	121
-0.09705953581918622	0.8176050379926754	Klf6	1054	1058
-0.13745768584227022	0.7415047314576169	Scmh1	1463	1428
0.09511156531087404	0.8185148447900406	Cox5a	2445	2804
0.7726798864099056	0.09794681044891385	Tbx2	79	145
0.5643186697142566	0.6241398551671058	Tbx4	5	8
-0.1889195197688268	0.65012818013249285	Ngfr	1359	1280
-0.3479641817859248	0.6058066495714409	Wnt3	19	16
0.5848894818980717	0.5098457419219871	Wnt9a	13	21
0.1476197914911763	0.7243044647239902	Fer	1014	1206
-0.01622287768599358	0.9691408985923954	Xpo6	4428	4701
-0.06037815900064706	0.8853006576457589	Tfe3	877	903
-0.34830467161058903	0.40358900684094534	Axin2	1149	969
-0.1180116723672744	0.7787824329691052	Brat1	1030	1019
-0.06016930828461514	0.8840179112653284	Gna12	6275	6462
1.6468078140472044	0.21713778948430504	Slc22a18	2	7
6.425951968472814	0.00243493287103269	Igsf5	0	11
-0.10200473032901625	0.9183669228708262	Pih1d2	24	24
-0.04020007488285341	0.9240858402349532	Dlat	1676	1750
0.02960594861101393	0.9449753028466348	Sdhd	1324	1451
-0.1624488271590771	0.6922880789205403	Ccnd2	32720	31389
0.05043256667322152	0.9038246140108774	Gpr107	2235	2485
-0.3994191496663467	0.3906333767534594	Nalcn	145	118
0.27940227865409945	0.5109579280392365	Btbd17	541	705
0.06981511637680342	0.8685371778997683	Drp2	1119	1261
-0.3213175343183561	0.4344902508320894	Lhx2	12117	10412
0.08659471000261712	0.860410573782303	Gmpr	157	179
0.3468139665673821	0.47363802392341536	Mid2	82	112
0.08841423478063343	0.8526044419120127	Trim25	219	250
0.03960526711027858	0.9255368689499156	Dgke	1439	1588
